No(line_no),주소(address),경도(longitute),위도(latitude),좌표값(status),설치장소상세(address_detail),설치장소타입(address_type),쓰레기통 형태(trash_type),관할기관(gov),관할기관연락처(gov_num)
40,서울특별시 용산구 한강맨션앞 버스정류장(이민재 소아청소년과)(03-218),126.9804724,37.53114116,인근좌표,서울특별시 용산구 한강맨션앞 버스정류장(이민재 소아청소년과)(03-218),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
41,서울특별시 용산구 이촌2동 주민센터(이촌2동대림아파트방면) 버스정류장(03-291) ,126.9664108,37.51877521,인근좌표,서울특별시 용산구 이촌2동 주민센터(이촌2동대림아파트방면) 버스정류장(03-291) ,, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
42,서울특별시 용산구 이촌2동 주민센터(이촌2동부영주유소방면) 버스정류장(03-290),126.9664108,37.51877521,인근좌표,서울특별시 용산구 이촌2동 주민센터(이촌2동부영주유소방면) 버스정류장(03-290),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
43,서울특별시 용산구 대림아파트 버스정류장(03-293)(새남터성당입구횡단보도),126.9804724,37.53114116,인근좌표,서울특별시 용산구 대림아파트 버스정류장(03-293)(새남터성당입구횡단보도),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
44,서울특별시 용산구 강변맨션앞 버스정류장(03-295),126.9804724,37.53114116,인근좌표,서울특별시 용산구 강변맨션앞 버스정류장(03-295),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
45,서울특별시 용산구 동아아파트 건너편 버스정류장(03-294 함흥냉면 앞),126.9098456,35.14683718,인근좌표,서울특별시 용산구 동아아파트 건너편 버스정류장(03-294 함흥냉면 앞),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
46,서울특별시 용산구 (구)용산중대병원앞 버스정류장(03-259),126.9804724,37.53114116,인근좌표,서울특별시 용산구 (구)용산중대병원앞 버스정류장(03-259),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
47,서울특별시 용산구 용산공업고등학교앞 횡단보도,126.9804724,37.53114116,인근좌표,서울특별시 용산구 용산공업고등학교앞 횡단보도,, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
48,서울특별시 용산구 이촌역 2번출구,126.9804724,37.53114116,인근좌표,서울특별시 용산구 이촌역 2번출구,, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
49,서울특별시 용산구 온누리교회앞 버스정류장(03-728),126.9804724,37.53114116,인근좌표,서울특별시 용산구 온누리교회앞 버스정류장(03-728),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
50,서울특별시 용산구 철우아파트 옆 버스정류장(03-261),126.9804724,37.53114116,인근좌표,서울특별시 용산구 철우아파트 옆 버스정류장(03-261),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
51,서울특별시 용산구 국립중앙박물관 정문앞 횡단보도,126.9804724,37.53114116,인근좌표,서울특별시 용산구 국립중앙박물관 정문앞 횡단보도,, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
52,서울특별시 용산구 국립중앙박물관 버스정류장(가족공원쪽)(03-266),126.9804724,37.53114116,인근좌표,서울특별시 용산구 국립중앙박물관 버스정류장(가족공원쪽)(03-266),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
53,서울특별시 용산구 후암로11 채가네볼태기앞,126.9780103,37.54699639,정좌표,서울특별시 용산구 후암로11 채가네볼태기앞,, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
54,서울특별시 용산구 후암시장(우측)입구 횡단보도앞,126.9804724,37.53114116,인근좌표,서울특별시 용산구 후암시장(우측)입구 횡단보도앞,, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
55,서울특별시 용산구 한남시범아파트버스정류장(03-211),126.9804724,37.53114116,인근좌표,서울특별시 용산구 한남시범아파트버스정류장(03-211),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
56,서울특별시 용산구 서울역공항철도15번출구 국립극단버스정류장(03-345),126.9804724,37.53114116,인근좌표,서울특별시 용산구 서울역공항철도15번출구국립극단버스정류장(03-345),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
57,서울특별시 용산구 한남2치안센터옆 공원입구,126.9804724,37.53114116,인근좌표,서울특별시 용산구 한남2치안센터옆 공원입구,, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
58,서울특별시 용산구 한남오거리(순천향대학방면-북한남삼거리방면) 버스정류장(03-166),129.0571699,35.58648813,인근좌표,서울특별시 용산구 한남오거리(순천향대학방면-북한남삼거리방면) 버스정류장(03-166),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
59,서울특별시 용산구 한강중학교(반포한강공원방면) 버스정류장(03-156),126.9804724,37.53114116,인근좌표,서울특별시 용산구 한강중학교(반포한강공원방면) 버스정류장(03-156),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
60,서울특별시 용산구 한강중학교건너편(용산구청방면) 버스정류장(03-155),126.9804724,37.53114116,인근좌표,서울특별시 용산구 한강중학교건너편(용산구청방면) 버스정류장(03-155),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
61,서울특별시 용산구 용산구청 크라운 호텔(한강중학교앞방면) 버스정류장(03-154),126.9804724,37.53114116,인근좌표,서울특별시 용산구 용산구청크라운 호텔(한강중학교앞방면) 버스정류장(03-154),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
62,서울특별시 용산구 용산구청 크라운 호텔(국군재정관리단방면) 버스정류장(03-153),126.9804724,37.53114116,인근좌표,서울특별시 용산구 용산구청크라운 호텔(국군재정관리단방면) 버스정류장(03-153),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
63,서울특별시 용산구 국군재정관리단앞(이태원동남산대림아파트 용산동아파트방면) 버스정류장(03-152),127.3611005,37.27633518,인근좌표,서울특별시 용산구 국군재정관리단앞(이태원동남산대림아파트용산동아파트방면) 버스정류장(03-152),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
64,서울특별시 용산구 해방촌(용산구청 크라운호텔방면) 버스정류장(03-151),126.9804724,37.53114116,인근좌표,서울특별시 용산구 해방촌(용산구청크라운호텔방면) 버스정류장(03-151),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
65,서울특별시 용산구 용암초등학교입구(남산3호터널앞) 버스정류장(03-148),126.9804724,37.53114116,인근좌표,서울특별시 용산구 용암초등학교입구(남산3호터널앞) 버스정류장(03-148),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
66,서울특별시 용산구 방태산식당앞(이촌2동주민센터 문화시설보건소셔틀버스정류장),126.9804724,37.53114116,인근좌표,서울특별시 용산구 방태산식당앞(이촌2동주민센터문화시설보건소셔틀버스정류장),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
67,서울특별시 용산구 남산도서관앞(두텁바위마을표지석앞) 버스정류장(03-168),126.9804724,37.53114116,인근좌표,서울특별시 용산구 남산도서관앞(두텁바위마을표지석앞) 버스정류장(03-168),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
68,서울특별시 용산구 남산도서관(백범광장방면) 버스정류장(03-167),126.9804724,37.53114116,인근좌표,서울특별시 용산구 남산도서관(백범광장방면) 버스정류장(03-167),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
69,서울특별시 용산구 후암약수터(보성여중고입구방면) 버스정류장(03-170),126.9804724,37.53114116,인근좌표,서울특별시 용산구 후암약수터(보성여중고입구방면) 버스정류장(03-170),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
70,서울특별시 용산구 보성여중고입구(후암약수터방면) 버스정류장(03-171),126.9804724,37.53114116,인근좌표,서울특별시 용산구 보성여중고입구(후암약수터방면) 버스정류장(03-171),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
71,서울특별시 용산구 남산체육관(하얏트호텔방면) 버스정류장(03-174),126.9804724,37.53114116,인근좌표,서울특별시 용산구 남산체육관(하얏트호텔방면) 버스정류장(03-174),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
72,서울특별시 용산구 하얏트 호텔(남산체육관방면) 버스정류장(03-175)이광희뷰티크건너편,126.9804724,37.53114116,인근좌표,서울특별시 용산구 하얏트 호텔(남산체육관방면) 버스정류장(03-175)이광희뷰티크건너편,, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
73,서울특별시 용산구 하얏트 호텔(서울시중부기술교육원 블루스퀘어방면) 버스정류장(03-176),126.9804724,37.53114116,인근좌표,서울특별시 용산구 하얏트 호텔(서울시중부기술교육원블루스퀘어방면) 버스정류장(03-176),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
74,서울특별시 용산구 보성여중고입구(용암초등학교 이태원2동주민센터방면) 버스정류장(용산2가동주민센타올라오는계단끝)(03-172),126.9804724,37.53114116,인근좌표,서울특별시 용산구 보성여중고입구(용암초등학교이태원2동주민센터방면) 버스정류장(용산2가동주민센타올라오는계단끝)(03-172),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
75,서울특별시 용산구 LG유플러스앞 횡단보도(도심),126.9804724,37.53114116,인근좌표,서울특별시 용산구 LG유플러스앞 횡단보도(도심),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
76,서울특별시 용산구 한강로 2가 222-5(한강로 블루컷앞),126.9664962,37.52734784,정좌표,서울특별시 용산구 한강로 2가 222-5(한강로 블루컷앞),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
77,서울특별시 용산구 한강로 2가 222-5(한강로 블루컷 건너편 용산역방향 횡단보도),126.9664962,37.52734784,정좌표,서울특별시 용산구 한강로 2가 222-5(한강로 블루컷 건너편 용산역방향 횡단보도),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
78,서울특별시 용산구 용산우체국앞( 택시정류장앞 ),126.9804724,37.53114116,인근좌표,서울특별시 용산구 용산우체국앞( 택시정류장앞 ),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
79,서울특별시 용산구 신용산역 마을버스정류장(03-561),126.9804724,37.53114116,인근좌표,서울특별시 용산구 신용산역 마을버스정류장(03-561),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
80,서울특별시 용산구 KT 용산지점 마을버스정류장(03-564) 횡단보도,126.9804724,37.53114116,인근좌표,서울특별시 용산구 KT 용산지점 마을버스정류장(03-564) 횡단보도,, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
81,서울특별시 용산구 KT 앞 중앙버스정류장 횡단보도(피터팬부동산),126.9804724,37.53114116,인근좌표,서울특별시 용산구 KT 앞 중앙버스정류장 횡단보도(피터팬부동산),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
82,서울특별시 용산구 숙대입구역 버스정류장(03-229),126.9804724,37.53114116,인근좌표,서울특별시 용산구 숙대입구역 버스정류장(03-229),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
83,서울특별시 용산구 삼각지 안전지대 횡단보도 (LG자이아파트 앞 ),126.9804724,37.53114116,인근좌표,서울특별시 용산구 삼각지 안전지대 횡단보도 (LG자이아파트 앞 ),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
84,서울특별시 용산구 아웃백스테이크하우스 남영점앞,126.9804724,37.53114116,인근좌표,서울특별시 용산구 아웃백스테이크하우스 남영점앞,, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
85,서울특별시 용산구 신한은행 숙명여대입구역점앞(서울역방면),126.9804724,37.53114116,인근좌표,서울특별시 용산구 신한은행 숙명여대입구역점앞(서울역방면),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
86,서울특별시 용산구 갈월동 갑을빌딩 앞(왕십리뉴타운1구역모델하우스),126.9715704,37.54493279,인근좌표,서울특별시 용산구 갈월동 갑을빌딩 앞(왕십리뉴타운1구역모델하우스),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
87,서울특별시 용산구 갈월동 숙대입구 지하철역 9번출구앞,126.9719143,37.54841679,정좌표,서울특별시 용산구 갈월동 숙대입구 지하철역 9번출구앞,, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
88,서울특별시 용산구 숙명여대 중앙버스정류장(롯데리아 앞),126.9804724,37.53114116,인근좌표,서울특별시 용산구 숙명여대 중앙버스정류장(롯데리아 앞),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
89,서울특별시 용산구 남영역 고려빌딩 앞 (우),126.9804724,37.53114116,인근좌표,서울특별시 용산구 남영역 고려빌딩 앞 (우),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
90,서울특별시 용산구 게이트웨이타워 버스정류장(03-198) 옆 횡단보도,126.9804724,37.53114116,인근좌표,서울특별시 용산구 게이트웨이타워 버스정류장(03-198) 옆 횡단보도,, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
91,서울특별시 용산구 남영역 마을버스정류장 (03-535),126.9804724,37.53114116,인근좌표,서울특별시 용산구 남영역 마을버스정류장 (03-535),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
92,서울특별시 용산구 남영역 앞 횡단보도,126.9804724,37.53114116,인근좌표,서울특별시 용산구 남영역 앞 횡단보도,, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
93,서울특별시 용산구 한강로2가 225-6(용산M치과의원 건너편 횡단보도),126.9668087,37.527687,정좌표,서울특별시 용산구 한강로2가 225-6(용산M치과의원 건너편 횡단보도),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
94,서울특별시 용산구 한강로동 베르가모(농협앞) 버스정류장(03-122),128.5156937,35.89727927,인근좌표,서울특별시 용산구 한강로동 베르가모(농협앞) 버스정류장(03-122),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
95,서울특별시 용산구 베르가모앞 택시정류장,126.9804724,37.53114116,인근좌표,서울특별시 용산구 베르가모앞 택시정류장,, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
96,서울특별시 용산구 용산역앞 횡단보도 건너편,126.9804724,37.53114116,인근좌표,서울특별시 용산구 용산역앞 횡단보도 건너편,, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
97,서울특별시 용산구 신용산지하차도입구 파리바게트 횡단보도앞,126.9804724,37.53114116,인근좌표,서울특별시 용산구 신용산지하차도입구 파리바게트 횡단보도앞,, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
98,서울특별시 용산구 용사의집앞 횡단보도(가로판매점앞),126.9804724,37.53114116,인근좌표,서울특별시 용산구 용사의집앞 횡단보도(가로판매점앞),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
99,서울특별시 용산구 한남역 용산노인종합복지관(한남동 하이페리온방면) 버스정류장(03-285),126.9804724,37.53114116,인근좌표,서울특별시 용산구 한남역용산노인종합복지관(한남동 하이페리온방면) 버스정류장(03-285),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
100,서울특별시 용산구 순천향 병원 택시정류장,126.9804724,37.53114116,인근좌표,서울특별시 용산구 순천향 병원 택시정류장,, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
101,서울특별시 용산구 원효로 2동 주민센터 버스정류장(03-304),126.94526,37.53471374,인근좌표,서울특별시 용산구 원효로 2동 주민센터 버스정류장(03-304),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
102,서울특별시 용산구 보광동 신동아아파트(기업은행보광동지점방면) 버스정류장(03-277),127.0005741,37.52688166,인근좌표,서울특별시 용산구 보광동 신동아아파트(기업은행보광동지점방면) 버스정류장(03-277),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
103,서울특별시 용산구 하얏트호텔 정문앞 마을버스정류장(용산03),126.9804724,37.53114116,인근좌표,서울특별시 용산구 하얏트호텔 정문앞 마을버스정류장(용산03),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
104,서울특별시 용산구 한남동 동원베네스트 사잇길 옆 쉼터,127.0063494,37.53746041,인근좌표,서울특별시 용산구 한남동 동원베네스트 사잇길 옆 쉼터,, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
105,서울특별시 용산구 한남동(한남시범아파트방면) 버스정류장(03-213)(현대리버티하우스 KEB하나은행앞),127.0063494,37.53746041,인근좌표,서울특별시 용산구 한남동(한남시범아파트방면) 버스정류장(03-213)(현대리버티하우스KEB하나은행앞),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
106,서울특별시 용산구 보금사에서 스시바얼이태원점앞(녹사평산악회앞),126.9804724,37.53114116,인근좌표,서울특별시 용산구 보금사에서 스시바얼이태원점앞(녹사평산악회앞),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
107,서울특별시 용산구 금호타이어한남대리점(시드니씨푸드)앞(경리단입구3호터널방향),128.4223574,35.6663724,인근좌표,서울특별시 용산구 금호타이어한남대리점(시드니씨푸드)앞(경리단입구3호터널방향),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
108,서울특별시 용산구 한강진역 1번출구앞 (용산국제학교입구),126.9804724,37.53114116,인근좌표,서울특별시 용산구 한강진역 1번출구앞 (용산국제학교입구),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
109,서울특별시 용산구 소월로168번지(고엽제사무실옆),126.9842371,37.54795891,정좌표,서울특별시 용산구 소월로168번지(고엽제사무실옆),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
110,서울특별시 용산구 한국폴리텍1대학 버스정류장(03-281),126.9804724,37.53114116,인근좌표,서울특별시 용산구 한국폴리텍1대학 버스정류장(03-281),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
111,서울특별시 용산구 도이치모터스(BMW) 매장앞,126.9804724,37.53114116,인근좌표,서울특별시 용산구 도이치모터스(BMW) 매장앞,, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
112,서울특별시 용산구 녹사평역 1번출구앞 버스정류장(03-524),126.9804724,37.53114116,인근좌표,서울특별시 용산구 녹사평역 1번출구앞 버스정류장(03-524),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
113,서울특별시 용산구 순천향 병원 진출로 옆 인도,126.9804724,37.53114116,인근좌표,서울특별시 용산구 순천향 병원 진출로 옆 인도,, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
114,서울특별시 용산구 순천향 병원 진입로 옆 인도,126.9804724,37.53114116,인근좌표,서울특별시 용산구 순천향 병원 진입로 옆 인도,, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
